Unnamed: 0	eye_color	face_shape	file_name
8101	2	1	8101.png
2681	1	1	2681.png
2275	0	2	2275.png
684	4	1	684.png
5705	4	4	5705.png
2281	3	4	2281.png
7042	1	0	7042.png
6548	1	2	6548.png
3778	2	3	3778.png
1347	1	1	1347.png
3153	2	0	3153.png
7847	4	4	7847.png
5905	0	1	5905.png
7759	1	1	7759.png
5364	0	2	5364.png
2416	1	3	2416.png
7222	0	2	7222.png
9690	3	2	9690.png
8612	0	0	8612.png
4618	3	3	4618.png
503	2	3	503.png
6976	0	2	6976.png
7278	0	0	7278.png
4146	1	4	4146.png
2205	1	2	2205.png
1288	0	0	1288.png
6958	1	2	6958.png
3443	4	0	3443.png
1522	2	2	1522.png
998	2	3	998.png
357	4	4	357.png
9865	2	3	9865.png
1368	4	1	1368.png
7485	3	3	7485.png
1818	3	2	1818.png
7288	1	0	7288.png
8426	3	1	8426.png
941	2	3	941.png
9956	3	3	9956.png
3992	3	2	3992.png
7825	1	0	7825.png
4985	3	0	4985.png
1310	2	4	1310.png
2333	3	4	2333.png
8596	4	0	8596.png
8655	2	1	8655.png
6739	2	2	6739.png
3457	3	0	3457.png
1783	0	1	1783.png
5510	0	2	5510.png
6399	4	0	6399.png
7148	2	0	7148.png
1235	3	2	1235.png
8259	0	3	8259.png
4683	2	1	4683.png
4272	3	3	4272.png
2578	3	0	2578.png
9974	2	2	9974.png
8569	2	1	8569.png
8334	1	2	8334.png
7133	3	0	7133.png
2209	2	1	2209.png
5045	0	0	5045.png
1124	3	2	1124.png
2523	3	2	2523.png
9233	3	2	9233.png
7629	1	1	7629.png
5194	0	4	5194.png
3995	4	4	3995.png
5289	3	2	5289.png
6559	0	4	6559.png
3096	1	2	3096.png
9937	4	2	9937.png
6041	0	4	6041.png
4813	4	2	4813.png
1922	2	2	1922.png
1582	4	3	1582.png
7794	3	0	7794.png
3571	3	1	3571.png
2352	4	2	2352.png
1706	1	2	1706.png
9041	4	3	9041.png
9263	3	4	9263.png
542	1	1	542.png
3985	3	3	3985.png
6159	4	2	6159.png
8994	3	3	8994.png
7198	4	2	7198.png
1087	2	4	1087.png
5566	0	4	5566.png
1719	0	1	1719.png
2985	0	4	2985.png
9224	1	0	9224.png
459	1	4	459.png
2678	4	0	2678.png
5158	3	1	5158.png
2273	2	0	2273.png
3923	3	3	3923.png
7576	1	3	7576.png
5109	2	3	5109.png
6966	0	1	6966.png
3214	3	3	3214.png
2803	0	1	2803.png
370	1	1	370.png
3059	0	1	3059.png
7817	4	4	7817.png
4780	1	1	4780.png
115	0	3	115.png
5847	4	3	5847.png
2933	4	3	2933.png
1974	4	2	1974.png
7712	2	2	7712.png
6871	2	1	6871.png
1781	4	1	1781.png
2081	4	1	2081.png
8512	2	2	8512.png
8628	1	3	8628.png
7155	1	3	7155.png
324	0	2	324.png
1189	2	0	1189.png
4177	2	2	4177.png
2351	0	2	2351.png
9027	0	4	9027.png
9758	4	4	9758.png
9609	0	0	9609.png
1128	3	3	1128.png
121	2	0	121.png
2949	2	0	2949.png
1517	0	0	1517.png
2070	0	4	2070.png
5278	0	0	5278.png
9209	0	2	9209.png
2635	0	1	2635.png
9641	3	0	9641.png
3476	1	3	3476.png
8919	3	2	8919.png
4168	3	4	4168.png
457	2	0	457.png
1134	3	1	1134.png
3442	4	0	3442.png
8510	0	4	8510.png
1096	2	4	1096.png
9060	4	4	9060.png
3685	4	3	3685.png
4468	4	3	4468.png
9360	2	4	9360.png
3566	4	0	3566.png
3263	4	3	3263.png
6551	0	2	6551.png
3805	2	0	3805.png
3462	1	2	3462.png
4905	2	2	4905.png
5246	4	1	5246.png
2411	1	2	2411.png
9431	4	4	9431.png
1269	1	4	1269.png
1696	4	4	1696.png
2608	1	4	2608.png
2032	0	4	2032.png
6799	0	4	6799.png
3684	0	2	3684.png
7751	2	0	7751.png
2348	2	1	2348.png
408	1	4	408.png
1836	0	0	1836.png
1468	4	4	1468.png
1182	2	0	1182.png
4655	0	2	4655.png
1955	4	4	1955.png
8040	2	0	8040.png
9123	1	4	9123.png
7339	0	2	7339.png
1526	0	4	1526.png
417	4	1	417.png
7630	4	3	7630.png
512	1	2	512.png
6797	0	1	6797.png
3687	0	1	3687.png
1274	1	4	1274.png
8548	4	1	8548.png
2182	1	0	2182.png
7450	3	1	7450.png
8095	0	1	8095.png
3215	2	1	3215.png
1714	0	0	1714.png
5259	4	0	5259.png
9436	0	4	9436.png
9850	4	2	9850.png
5420	0	1	5420.png
7587	0	0	7587.png
8395	1	1	8395.png
7558	2	4	7558.png
3133	1	4	3133.png
7784	2	2	7784.png
8469	3	3	8469.png
5824	3	2	5824.png
398	4	0	398.png
7609	3	3	7609.png
2812	2	0	2812.png
2970	3	3	2970.png
8275	2	4	8275.png
2561	4	3	2561.png
5387	3	2	5387.png
9167	4	3	9167.png
2076	4	2	2076.png
9435	2	0	9435.png
2844	3	1	2844.png
915	2	3	915.png
4490	2	1	4490.png
9816	4	2	9816.png
9718	0	4	9718.png
7694	1	3	7694.png
72	4	0	72.png
6272	2	0	6272.png
8588	3	2	8588.png
5531	4	0	5531.png
4196	2	3	4196.png
687	1	1	687.png
9406	1	3	9406.png
6065	2	4	6065.png
34	4	0	34.png
6330	3	0	6330.png
4345	0	1	4345.png
3708	0	1	3708.png
8085	4	4	8085.png
6409	0	3	6409.png
6619	0	1	6619.png
8170	4	2	8170.png
4440	0	2	4440.png
5032	2	0	5032.png
3645	2	1	3645.png
7323	4	1	7323.png
5429	1	1	5429.png
8462	3	0	8462.png
9941	3	2	9941.png
7955	2	0	7955.png
6211	3	2	6211.png
3691	2	0	3691.png
4446	0	4	4446.png
8592	1	1	8592.png
1564	0	3	1564.png
9874	0	1	9874.png
9355	1	3	9355.png
3935	3	1	3935.png
8007	4	3	8007.png
2425	0	1	2425.png
8746	1	2	8746.png
5599	4	4	5599.png
5773	4	0	5773.png
5168	0	1	5168.png
8647	0	3	8647.png
5626	4	0	5626.png
4602	0	2	4602.png
8028	0	2	8028.png
2325	4	1	2325.png
3358	0	1	3358.png
4119	4	1	4119.png
4474	0	2	4474.png
1098	1	3	1098.png
7521	3	1	7521.png
6150	0	2	6150.png
8005	0	2	8005.png
6393	4	3	6393.png
319	3	2	319.png
1913	4	4	1913.png
4110	1	0	4110.png
6109	3	1	6109.png
9753	2	1	9753.png
7974	4	3	7974.png
6014	4	3	6014.png
8248	0	3	8248.png
4167	0	0	4167.png
8206	3	3	8206.png
978	0	2	978.png
1670	3	1	1670.png
6237	4	2	6237.png
5213	0	1	5213.png
5786	2	1	5786.png
6942	1	3	6942.png
7204	3	4	7204.png
1869	1	2	1869.png
2393	4	4	2393.png
1581	0	2	1581.png
460	1	4	460.png
2423	0	3	2423.png
6258	4	2	6258.png
7127	1	2	7127.png
8624	3	1	8624.png
1837	1	2	1837.png
5902	2	0	5902.png
5426	1	2	5426.png
4742	2	1	4742.png
9049	0	4	9049.png
5141	0	4	5141.png
5737	3	4	5737.png
9667	3	3	9667.png
7543	1	3	7543.png
4194	3	1	4194.png
6107	1	0	6107.png
2026	2	1	2026.png
4230	3	4	4230.png
4380	2	3	4380.png
242	3	3	242.png
842	1	1	842.png
6834	4	3	6834.png
3739	3	1	3739.png
487	3	0	487.png
5283	3	3	5283.png
8062	1	1	8062.png
1786	1	4	1786.png
1157	0	2	1157.png
4947	1	1	4947.png
93	2	4	93.png
7196	4	0	7196.png
3741	2	1	3741.png
6590	0	2	6590.png
2335	2	2	2335.png
8714	2	4	8714.png
1648	2	0	1648.png
4184	1	1	4184.png
8084	1	2	8084.png
4803	1	3	4803.png
4137	1	3	4137.png
9031	0	2	9031.png
421	2	3	421.png
9295	4	1	9295.png
6382	2	0	6382.png
9763	4	4	9763.png
917	4	0	917.png
5772	1	0	5772.png
1672	3	3	1672.png
7054	2	2	7054.png
2295	2	2	2295.png
6361	1	2	6361.png
3069	4	1	3069.png
5541	1	1	5541.png
4153	0	4	4153.png
877	1	2	877.png
3231	0	1	3231.png
609	3	0	609.png
7344	1	2	7344.png
4800	0	2	4800.png
4604	2	3	4604.png
2472	3	1	2472.png
5273	2	0	5273.png
8807	3	1	8807.png
7708	2	0	7708.png
6108	1	2	6108.png
220	4	0	220.png
8042	2	1	8042.png
4002	1	3	4002.png
9313	3	4	9313.png
6343	1	1	6343.png
1537	1	4	1537.png
1964	2	2	1964.png
9203	0	4	9203.png
9138	0	0	9138.png
2641	4	0	2641.png
3762	3	2	3762.png
9424	1	4	9424.png
5797	2	4	5797.png
4292	1	0	4292.png
1637	2	1	1637.png
4710	3	0	4710.png
3912	2	3	3912.png
8020	2	2	8020.png
8305	0	0	8305.png
2105	2	1	2105.png
3132	4	0	3132.png
3695	1	4	3695.png
6545	2	4	6545.png
7142	2	2	7142.png
9894	4	3	9894.png
8016	0	0	8016.png
1949	0	1	1949.png
5713	0	4	5713.png
1654	0	1	1654.png
980	1	4	980.png
4010	0	4	4010.png
9955	3	2	9955.png
7028	1	2	7028.png
9991	2	3	9991.png
8152	0	0	8152.png
8494	3	2	8494.png
8556	2	0	8556.png
6993	3	1	6993.png
679	4	1	679.png
540	1	1	540.png
461	2	1	461.png
4696	3	2	4696.png
4781	0	3	4781.png
4718	1	2	4718.png
3054	1	3	3054.png
583	4	3	583.png
1598	4	4	1598.png
5260	3	2	5260.png
4503	3	3	4503.png
4348	3	3	4348.png
7962	0	0	7962.png
239	2	2	239.png
6212	4	4	6212.png
2130	1	1	2130.png
6508	0	1	6508.png
8645	4	4	8645.png
1447	3	3	1447.png
1482	3	4	1482.png
7892	4	2	7892.png
2680	4	1	2680.png
9473	4	2	9473.png
4121	1	1	4121.png
4938	0	1	4938.png
3545	2	0	3545.png
6081	2	1	6081.png
4182	1	4	4182.png
7030	4	0	7030.png
3035	1	3	3035.png
7950	1	2	7950.png
5147	1	2	5147.png
7329	2	4	7329.png
7982	2	0	7982.png
7073	1	2	7073.png
669	2	0	669.png
996	3	1	996.png
5455	2	4	5455.png
3438	2	0	3438.png
2759	3	1	2759.png
9838	3	0	9838.png
1823	4	3	1823.png
7443	2	3	7443.png
9075	3	3	9075.png
7570	2	1	7570.png
4532	4	4	4532.png
9111	2	0	9111.png
7577	0	2	7577.png
593	4	2	593.png
4197	2	3	4197.png
6146	4	3	6146.png
8404	3	3	8404.png
7113	0	1	7113.png
6446	2	4	6446.png
7853	4	3	7853.png
5729	4	1	5729.png
7313	4	2	7313.png
2827	3	2	2827.png
6707	0	2	6707.png
8841	2	0	8841.png
9592	1	1	9592.png
1345	2	0	1345.png
7818	1	4	7818.png
2100	1	3	2100.png
4178	3	0	4178.png
8429	1	3	8429.png
5536	0	0	5536.png
1918	3	2	1918.png
7203	0	2	7203.png
6280	3	1	6280.png
7791	3	4	7791.png
2109	4	0	2109.png
3162	1	1	3162.png
2288	0	4	2288.png
5369	1	0	5369.png
8933	1	0	8933.png
2299	0	4	2299.png
2276	0	2	2276.png
8487	2	2	8487.png
1227	2	2	1227.png
826	4	4	826.png
5568	2	0	5568.png
4609	2	3	4609.png
9549	1	4	9549.png
7803	1	0	7803.png
5074	4	2	5074.png
6119	1	0	6119.png
9388	3	2	9388.png
8045	2	3	8045.png
6351	1	3	6351.png
3934	1	1	3934.png
148	2	2	148.png
7058	0	0	7058.png
2602	3	4	2602.png
6684	1	4	6684.png
8320	1	4	8320.png
3276	0	2	3276.png
3747	4	0	3747.png
4845	4	3	4845.png
4415	4	1	4415.png
323	0	1	323.png
4537	1	4	4537.png
4386	4	1	4386.png
2972	0	2	2972.png
8481	1	0	8481.png
7811	4	3	7811.png
827	0	3	827.png
2918	3	0	2918.png
2052	0	0	2052.png
5015	1	2	5015.png
3304	1	2	3304.png
3799	1	2	3799.png
7029	1	3	7029.png
7380	2	3	7380.png
4861	4	0	4861.png
8544	2	4	8544.png
7015	2	0	7015.png
7446	0	1	7446.png
8096	3	0	8096.png
7674	4	2	7674.png
4889	3	3	4889.png
2097	3	2	2097.png
2579	3	2	2579.png
477	3	2	477.png
9438	4	4	9438.png
476	0	4	476.png
5021	2	2	5021.png
2958	3	2	2958.png
4784	3	0	4784.png
2213	2	3	2213.png
2601	1	4	2601.png
4996	4	4	4996.png
2840	4	4	2840.png
6208	1	3	6208.png
1200	0	1	1200.png
6321	4	1	6321.png
5093	3	3	5093.png
6076	4	4	6076.png
4911	0	1	4911.png
1409	1	3	1409.png
4350	3	2	4350.png
4368	3	3	4368.png
3106	1	0	3106.png
2889	0	3	2889.png
4931	0	1	4931.png
8115	2	3	8115.png
6223	0	3	6223.png
1457	2	3	1457.png
6580	2	1	6580.png
6719	4	2	6719.png
3064	4	4	3064.png
3244	3	2	3244.png
9859	4	2	9859.png
3387	2	0	3387.png
1442	1	1	1442.png
1045	3	0	1045.png
6969	3	4	6969.png
7432	3	2	7432.png
5994	4	0	5994.png
4983	3	1	4983.png
3753	1	2	3753.png
4615	2	1	4615.png
9024	3	3	9024.png
769	1	4	769.png
889	2	4	889.png
5909	2	3	5909.png
8452	2	4	8452.png
4895	4	3	4895.png
8286	4	0	8286.png
6285	1	2	6285.png
4099	1	2	4099.png
3343	1	0	3343.png
6040	3	1	6040.png
9336	3	3	9336.png
7440	2	2	7440.png
4248	0	4	4248.png
7467	4	4	7467.png
7349	2	4	7349.png
2971	1	2	2971.png
6566	0	1	6566.png
4145	4	0	4145.png
3890	4	3	3890.png
9623	2	2	9623.png
690	3	4	690.png
2893	4	4	2893.png
2881	2	0	2881.png
9767	1	0	9767.png
4644	4	3	4644.png
135	1	3	135.png
9515	4	0	9515.png
7642	0	1	7642.png
2147	1	3	2147.png
2528	2	2	2528.png
7234	4	3	7234.png
1222	1	2	1222.png
8099	3	1	8099.png
6819	2	3	6819.png
4858	2	2	4858.png
3370	3	4	3370.png
1606	2	2	1606.png
7842	4	4	7842.png
3673	1	0	3673.png
9785	1	2	9785.png
9055	4	2	9055.png
5126	3	1	5126.png
2878	0	3	2878.png
8496	3	3	8496.png
9898	1	3	9898.png
2113	3	0	2113.png
4542	2	3	4542.png
5149	1	1	5149.png
285	1	3	285.png
7647	1	4	7647.png
918	1	2	918.png
2107	1	0	2107.png
3480	0	2	3480.png
9815	1	2	9815.png
3565	3	1	3565.png
6671	3	1	6671.png
2363	0	3	2363.png
5913	1	1	5913.png
1055	0	3	1055.png
9822	1	0	9822.png
3448	1	2	3448.png
9639	2	3	9639.png
4070	0	2	4070.png
3042	4	1	3042.png
6897	2	0	6897.png
1632	1	0	1632.png
5317	4	3	5317.png
3589	4	4	3589.png
9402	2	0	9402.png
2636	4	2	2636.png
8371	4	4	8371.png
2711	1	2	2711.png
5712	2	4	5712.png
6831	4	0	6831.png
8593	1	1	8593.png
794	1	2	794.png
1331	4	4	1331.png
9179	3	0	9179.png
1726	1	2	1726.png
8405	2	4	8405.png
876	4	4	876.png
373	2	4	373.png
1430	2	0	1430.png
119	1	1	119.png
3404	0	3	3404.png
9696	2	4	9696.png
5136	0	1	5136.png
458	3	0	458.png
1452	3	4	1452.png
8974	4	0	8974.png
8436	0	1	8436.png
7161	1	2	7161.png
7426	4	1	7426.png
7051	0	3	7051.png
6534	4	4	6534.png
9883	3	3	9883.png
8386	3	0	8386.png
5617	2	3	5617.png
7459	3	0	7459.png
7792	0	4	7792.png
2271	2	4	2271.png
4181	3	2	4181.png
1150	4	1	1150.png
1400	1	3	1400.png
3218	1	3	3218.png
9198	2	1	9198.png
7900	1	0	7900.png
5948	1	4	5948.png
4886	1	2	4886.png
5895	3	2	5895.png
8010	4	3	8010.png
1764	0	0	1764.png
4706	3	3	4706.png
4747	4	3	4747.png
9677	1	1	9677.png
123	0	2	123.png
2957	3	0	2957.png
8354	0	4	8354.png
8815	2	3	8815.png
4087	3	2	4087.png
9051	4	0	9051.png
9653	1	1	9653.png
6006	1	3	6006.png
3280	2	2	3280.png
1506	4	1	1506.png
8901	0	4	8901.png
1618	3	4	1618.png
3918	4	1	3918.png
8717	1	0	8717.png
6975	1	3	6975.png
780	1	4	780.png
8858	1	0	8858.png
3240	0	2	3240.png
4056	3	1	4056.png
3329	0	1	3329.png
6956	0	4	6956.png
8398	4	3	8398.png
1451	1	3	1451.png
5633	4	3	5633.png
4611	1	2	4611.png
1678	3	2	1678.png
5818	2	3	5818.png
662	4	1	662.png
5114	1	3	5114.png
3065	1	0	3065.png
4945	0	0	4945.png
6781	1	3	6781.png
4165	1	3	4165.png
9554	4	4	9554.png
9064	0	2	9064.png
4940	4	4	4940.png
4020	3	3	4020.png
4382	2	2	4382.png
6300	4	0	6300.png
6098	0	0	6098.png
266	4	1	266.png
2605	3	1	2605.png
8294	1	3	8294.png
4631	4	4	4631.png
6653	2	2	6653.png
6536	3	4	6536.png
6630	3	1	6630.png
5079	1	2	5079.png
5249	0	1	5249.png
5026	0	2	5026.png
4716	4	3	4716.png
9579	4	0	9579.png
4884	1	1	4884.png
8518	3	1	8518.png
1866	4	3	1866.png
7475	3	0	7475.png
1246	4	4	1246.png
4449	1	4	4449.png
8797	1	1	8797.png
6718	0	1	6718.png
1283	4	2	1283.png
1354	3	2	1354.png
8048	3	0	8048.png
6816	4	3	6816.png
6406	4	0	6406.png
4915	1	0	4915.png
3706	3	1	3706.png
5107	3	1	5107.png
5689	3	4	5689.png
1402	3	0	1402.png
6857	2	3	6857.png
671	2	3	671.png
9818	4	0	9818.png
1185	0	1	1185.png
4709	4	0	4709.png
5559	3	1	5559.png
548	1	3	548.png
4980	4	4	4980.png
8380	3	1	8380.png
1238	2	0	1238.png
8381	4	1	8381.png
2894	4	1	2894.png
7280	0	2	7280.png
8821	0	1	8821.png
1915	2	4	1915.png
800	2	4	800.png
1408	1	2	1408.png
9854	2	2	9854.png
1248	1	0	1248.png
7673	2	3	7673.png
7039	3	1	7039.png
7062	1	4	7062.png
3364	4	0	3364.png
130	0	2	130.png
4251	0	4	4251.png
7256	4	1	7256.png
9166	1	4	9166.png
9805	0	0	9805.png
8897	4	1	8897.png
1138	4	4	1138.png
5150	4	4	5150.png
1985	2	1	1985.png
4595	2	0	4595.png
1950	1	4	1950.png
7893	3	4	7893.png
5598	0	4	5598.png
3416	3	4	3416.png
5077	2	0	5077.png
1944	0	3	1944.png
1736	3	3	1736.png
8343	1	4	8343.png
7263	1	1	7263.png
8242	3	0	8242.png
945	2	3	945.png
3082	1	0	3082.png
8168	4	1	8168.png
2386	1	3	2386.png
1304	0	0	1304.png
1056	3	1	1056.png
2515	1	4	2515.png
8726	0	4	8726.png
1983	1	2	1983.png
6579	3	0	6579.png
407	1	3	407.png
9809	1	3	9809.png
5924	4	1	5924.png
3191	2	4	3191.png
3556	0	0	3556.png
6999	2	3	6999.png
3471	1	1	3471.png
1293	2	1	1293.png
9823	4	2	9823.png
746	1	2	746.png
7498	2	2	7498.png
7366	3	0	7366.png
1476	0	0	1476.png
7455	2	0	7455.png
1147	3	1	1147.png
9935	4	2	9935.png
5279	0	4	5279.png
3378	4	4	3378.png
3182	0	4	3182.png
5671	0	0	5671.png
8450	0	0	8450.png
9140	3	4	9140.png
9274	1	2	9274.png
5767	3	2	5767.png
4436	3	0	4436.png
9158	3	3	9158.png
9077	3	3	9077.png
7428	4	3	7428.png
8962	2	0	8962.png
6843	3	0	6843.png
2764	3	4	2764.png
304	3	1	304.png
4155	2	3	4155.png
8131	1	3	8131.png
2290	1	2	2290.png
2993	1	0	2993.png
3538	2	3	3538.png
2047	0	3	2047.png
9716	4	4	9716.png
4059	2	0	4059.png
2718	3	2	2718.png
